GameFlag(0) GF_Unused_EVT_00
GameFlag(1) GF_StartedChapter1
GameFlag(2) GF_StartedChapter2
GameFlag(3) GF_StartedChapter3
GameFlag(4) GF_StartedChapter4
GameFlag(5) GF_StartedChapter5
GameFlag(6) GF_StartedChapter6
GameFlag(7) GF_StartedChapter7
GameFlag(8) GF_StartedChapter8
GameFlag(9) GF_DemoSceneDone
GameFlag(10) GF_Unused_EVT_0A
GameFlag(11) GF_Unused_EVT_0B
GameFlag(12) GF_Unused_EVT_0C
GameFlag(13) GF_Unused_EVT_0D
GameFlag(14) GF_Unused_EVT_0E
GameFlag(15) GF_Unused_EVT_0F
GameFlag(16) GF_Unused_EVT_10
GameFlag(17) GF_Unused_EVT_11
GameFlag(18) GF_Unused_EVT_12
GameFlag(19) GF_Unused_EVT_13
GameFlag(20) GF_Unused_EVT_14
GameFlag(21) GF_Unused_EVT_15
GameFlag(22) GF_Unused_EVT_16
GameFlag(23) GF_Unused_EVT_17
GameFlag(24) GF_Unused_EVT_18
GameFlag(25) GF_Unused_EVT_19
GameFlag(26) GF_Unused_EVT_1A
GameFlag(27) GF_Unused_EVT_1B
GameFlag(28) GF_Unused_EVT_1C
GameFlag(29) GF_Unused_EVT_1D
GameFlag(30) GF_KMR04_Tree3_Dolly
GameFlag(31) GF_KMR02_KeptDolly
GameFlag(32) GF_KMR02_Met_Goompapa
GameFlag(33) GF_KMR02_Goompapa_SaidFarewell
GameFlag(34) GF_KMR02_Met_Goomama
GameFlag(35) GF_KMR02_Goomama_SaidFarewell
GameFlag(36) GF_KMR02_Met_Goombario
GameFlag(37) GF_KMR02_Goombario_SwapDialogue
GameFlag(38) GF_KMR02_Met_Gooma
GameFlag(39) GF_KMR02_Gooma_HealthAdvice
GameFlag(40) GF_KMR02_Met_Goompa
GameFlag(41) GF_KMR02_Goompa_SwapDialogue
GameFlag(42) GF_KMR02_ToadHouse_Intro
GameFlag(43) GF_KMR02_ReturnedWithGoompa
GameFlag(44) GF_Unused_KMR_0E
GameFlag(45) GF_KMR11_GoombaBrosFledToCastle
GameFlag(46) GF_KMR02_Item_ShootingStar
GameFlag(47) GF_KMR02_Bush2_Coin
GameFlag(48) GF_KMR02_Tree1_Goomnut
GameFlag(49) GF_KMR02_Item_FireFlower
GameFlag(50) GF_KMR03_ItemBlock_Coin
GameFlag(51) GF_Unused_KMR_15
GameFlag(52) GF_KMR03_HiddenItem_RepelGel
GameFlag(53) GF_KMR03_Tree1_Mushroom
GameFlag(54) GF_KMR03_Hammer1Block
GameFlag(55) GF_Unused_KMR_19
GameFlag(56) GF_KMR03_Item_CoinA
GameFlag(57) GF_KMR03_Item_CoinB
GameFlag(58) GF_KMR03_Item_CoinC
GameFlag(59) GF_KMR03_Item_CoinD
GameFlag(60) GF_KMR04_Tree1_Coin
GameFlag(61) GF_KMR04_Tree2_Coin
GameFlag(62) GF_KMR04_Bush1_Coin
GameFlag(63) GF_KMR04_Bush2_Coin
GameFlag(64) GF_KMR04_Bush3_CoinA
GameFlag(65) GF_KMR04_Bush3_CoinB
GameFlag(66) GF_KMR04_Bush4_Coin
GameFlag(67) GF_KMR04_Bush5_Coin
GameFlag(68) GF_Unused_KMR_26
GameFlag(69) GF_Unused_KMR_27
GameFlag(70) GF_KMR04_MultiCoinBrick
GameFlag(71) GF_KMR04_Hammer1Block
GameFlag(72) GF_KMR05_EnemyWarning
GameFlag(73) GF_KMR05_Tree1_Coin
GameFlag(74) GF_KMR05_Item_StarPiece
GameFlag(75) GF_Unused_KMR_2D
GameFlag(76) GF_Unused_KMR_2E
GameFlag(77) GF_KMR09_ItemBlock_CoinA
GameFlag(78) GF_KMR09_ItemBlock_CoinB
GameFlag(79) GF_KMR06_Item_Mushroom
GameFlag(80) GF_KMR06_BadgeBlock_CloseCall
GameFlag(81) GF_KMR11_ItemBlock_SuperShroom
GameFlag(82) GF_KMR11_Tree1_StarPiece
GameFlag(83) GF_KMR11_Tree2_Coin
GameFlag(84) GF_KMR10_Chest_HammerThrow
GameFlag(85) GF_KMR10_ItemBlock_SleepySheep
GameFlag(86) GF_KMR00_HiddenPanel
GameFlag(87) GF_Unused_KMR_39
GameFlag(88) GF_KMR03_HiddenPanel
GameFlag(89) GF_Unused_KMR_3B
GameFlag(90) GF_KMR11_HiddenPanel
GameFlag(91) GF_KMR10_UnreadFlagForSpring
GameFlag(92) GF_Unused_KMR_3E
GameFlag(93) GF_Unused_KMR_3F
GameFlag(94) GF_Tutorial_Badges
GameFlag(95) GF_Tutorial_SaveBlock
GameFlag(96) GF_Tutorial_HeartBlock
GameFlag(97) GF_Tutorial_GotItem
GameFlag(98) GF_KMR20_ReunitedWithLuigi
GameFlag(99) GF_KMR20_Gift_LuigisAutograph
GameFlag(100) GF_KMR02_Gift_TheTape
GameFlag(101) GF_Tutorial_GotStarPiece
GameFlag(102) GF_FoughtTheMaster
GameFlag(103) GF_KMR20_ReadThankYouLetterFromKoopaVillage
GameFlag(104) GF_KMR02_Goombario_RelayedMessage
GameFlag(105) GF_KMR20_CaughtLuigiInBasement
GameFlag(106) GF_KMR20_CaughtLuigiReadingLetter
GameFlag(107) GF_KMR20_FoundLuigisDiary
GameFlag(108) GF_KMR20_CheckedDeskForMail
GameFlag(109) GF_KMR20_ChasedOffShyGuy
GameFlag(110) GF_KMR10_KnockedSpringOutOfTree
GameFlag(111) GF_Unused_KMR_51
GameFlag(112) GF_Unused_KMR_52
GameFlag(113) GF_Unused_KMR_53
GameFlag(114) GF_Unused_KMR_54
GameFlag(115) GF_Unused_KMR_55
GameFlag(116) GF_Unused_KMR_56
GameFlag(117) GF_Unused_KMR_57
GameFlag(118) GF_Unused_KMR_58
GameFlag(119) GF_Unused_KMR_59
GameFlag(120) GF_Unused_KMR_5A
GameFlag(121) GF_Unused_KMR_5B
GameFlag(122) GF_Unused_KMR_5C
GameFlag(123) GF_Unused_KMR_5D
GameFlag(124) GF_Unused_KMR_5E
GameFlag(125) GF_Unused_KMR_5F
GameFlag(126) GF_Unused_KMR_60
GameFlag(127) GF_Unused_KMR_61
GameFlag(128) GF_Unused_KMR_62
GameFlag(129) GF_Unused_KMR_63
GameFlag(130) GF_Unused_MAC_00
GameFlag(131) GF_MAC02_UnlockedHouse
GameFlag(132) GF_MAC02_Item_OddKey
GameFlag(133) GF_MAC01_UnlockedRowfBadge_00
GameFlag(134) GF_MAC01_UnlockedRowfBadge_01
GameFlag(135) GF_MAC01_UnlockedRowfBadge_02
GameFlag(136) GF_MAC01_UnlockedRowfBadge_03
GameFlag(137) GF_MAC01_UnlockedRowfBadge_04
GameFlag(138) GF_MAC01_UnlockedRowfBadge_05
GameFlag(139) GF_MAC01_UnlockedRowfBadge_06
GameFlag(140) GF_MAC01_UnlockedRowfBadge_07
GameFlag(141) GF_MAC01_UnlockedRowfBadge_08
GameFlag(142) GF_MAC01_UnlockedRowfBadge_09
GameFlag(143) GF_MAC01_UnlockedRowfBadge_0A
GameFlag(144) GF_MAC01_UnlockedRowfBadge_0B
GameFlag(145) GF_MAC01_UnlockedRowfBadge_0C
GameFlag(146) GF_MAC01_UnlockedRowfBadge_0D
GameFlag(147) GF_MAC01_UnlockedRowfBadge_0E
GameFlag(148) GF_MAC01_UnlockedRowfBadge_0F
GameFlag(149) GF_Unused_MAC_13
GameFlag(150) GF_Unused_MAC_14
GameFlag(151) GF_Unused_MAC_15
GameFlag(152) GF_Unused_MAC_16
GameFlag(153) GF_MAC01_UnlockedLetter_00
GameFlag(154) GF_MAC01_UnlockedLetter_01
GameFlag(155) GF_MAC01_UnlockedLetter_02
GameFlag(156) GF_MAC01_UnlockedLetter_03
GameFlag(157) GF_MAC01_UnlockedLetter_04
GameFlag(158) GF_MAC01_UnlockedLetter_05
GameFlag(159) GF_MAC01_UnlockedLetter_06
GameFlag(160) GF_MAC01_UnlockedLetter_07
GameFlag(161) GF_MAC01_UnlockedLetter_08
GameFlag(162) GF_MAC01_UnlockedLetter_09
GameFlag(163) GF_MAC01_UnlockedLetter_0A
GameFlag(164) GF_MAC01_UnlockedLetter_0B
GameFlag(165) GF_MAC01_UnlockedLetter_0C
GameFlag(166) GF_MAC01_UnlockedLetter_0D
GameFlag(167) GF_MAC01_UnlockedLetter_0E
