EVT_RETURN Return
EVT_JUMP Jump
EVT_LABEL Label
EVT_GOTO Goto
EVT_LOOP Loop
EVT_END_LOOP EndLoop
EVT_BREAK_LOOP BreakLoop
EVT_WAIT Wait
EVT_WAIT_SECS WaitSecs
EVT_IF_EQ IfEq
EVT_IF_NE IfNe
EVT_IF_LT IfLt
EVT_IF_GT IfGt
EVT_IF_LE IfLe
EVT_IF_GE IfGe
EVT_IF_FLAG IfFlag
EVT_IF_NOT_FLAG IfNotFlag
EVT_ELSE Else
EVT_END_IF EndIf
EVT_SWITCH Switch
EVT_SWITCH_CONST SwitchConst
EVT_CASE_EQ CaseEq
EVT_CASE_NE CaseNe
EVT_CASE_LT CaseLt
EVT_CASE_GT CaseGt
EVT_CASE_LE CaseLe
EVT_CASE_GE CaseGe
EVT_CASE_DEFAULT CaseDefault
EVT_CASE_OR_EQ CaseOrEq
EVT_CASE_AND_EQ CaseAndEq
EVT_CASE_FLAG CaseFlag
EVT_END_CASE_GROUP EndCaseGroup
EVT_CASE_RANGE CaseRange
EVT_BREAK_SWITCH BreakSwitch
EVT_END_SWITCH EndSwitch
EVT_SET Set
EVT_SET_CONST SetConst
EVT_SETF SetF
EVT_ADD Add
EVT_SUB Sub
EVT_MUL Mul
EVT_DIV Div
EVT_MOD Mod
EVT_ADDF AddF
EVT_SUBF SubF
EVT_MULF MulF
EVT_DIVF DivF
EVT_USE_BUF UseBuf
EVT_BUF_READ1 BufRead1
EVT_BUF_READ2 BufRead2
EVT_BUF_READ3 BufRead3
EVT_BUF_READ4 BufRead4
EVT_BUF_PEEK BufPeek
EVT_USE_FBUF UseFBuf
EVT_FBUF_READ1 FBufRead1
EVT_FBUF_READ2 FBufRead2
EVT_FBUF_READ3 FBufRead3
EVT_FBUF_READ4 FBufRead4
EVT_FBUF_PEEK FBufPeek
EVT_USE_ARRAY UseArray
EVT_USE_FLAG_ARRAY UseFlagArray
EVT_MALLOC_ARRAY MallocArray
EVT_BITWISE_AND BitwiseAnd
EVT_BITWISE_AND_CONST BitwiseAndConst
EVT_BITWISE_OR BitwiseOr
EVT_BITWISE_OR_CONST BitwiseOrConst
EVT_EXEC Exec
EVT_EXEC_GET_TID ExecGetTID
EVT_EXEC_WAIT ExecWait
EVT_BIND_TRIGGER BindTrigger
EVT_BIND_PADLOCK BindPadlock
EVT_UNBIND Unbind
EVT_KILL_THREAD KillThread
EVT_SET_PRIORITY SetPriority
EVT_SET_TIMESCALE SetTimescale
EVT_SET_GROUP SetGroup
EVT_SUSPEND_GROUP SuspendGroup
EVT_RESUME_GROUP ResumeGroup
EVT_SUSPEND_OTHERS SuspendOthers
EVT_RESUME_OTHERS ResumeOthers
EVT_SUSPEND_THREAD SuspendThread
EVT_RESUME_THREAD ResumeThread
EVT_IS_THREAD_RUNNING IsThreadRunning
EVT_THREAD Thread
EVT_END_THREAD EndThread
EVT_CHILD_THREAD ChildThread
EVT_END_CHILD_THREAD EndChildThread
EVT_DEBUG_LOGF DebugLogf
EVT_DEBUG_PRINT_VAR DebugPrintVar
EVT_IF_TRUE IfTrue
EVT_IF_FALSE IfFalse
EVT_CALL Call
EVT_END End
EVT_PLAY_EFFECT PlayEffect
EVT_PTR Ref
EVT_FLOAT Float
