BTL_CAM_PRESET_00 BTL_CAM_RESET
BTL_CAM_PRESET_01 BTL_CAM_INTERRUPT
BTL_CAM_DEFAULT BTL_CAM_DEFAULT
BTL_CAM_PRESET_03 BTL_CAM_VIEW_ENEMIES
BTL_CAM_PRESET_04 BTL_CAM_RETURN_HOME
BTL_CAM_PRESET_05 BTL_CAM_ACTOR_TARGET_MIDPOINT
BTL_CAM_PRESET_06 BTL_CAM_ACTOR_PART
BTL_CAM_PRESET_07 BTL_CAM_ACTOR_GOAL_SIMPLE
BTL_CAM_PRESET_08 BTL_CAM_ACTOR_SIMPLE
BTL_CAM_PRESET_09 BTL_CAM_SLOW_DEFAULT
BTL_CAM_PRESET_10 BTL_CAM_MIDPOINT_CLOSE
BTL_CAM_PRESET_11 BTL_CAM_MIDPOINT_NORMAL
BTL_CAM_PRESET_12 BTL_CAM_MIDPOINT_FAR
BTL_CAM_PRESET_13 BTL_CAM_ACTOR_CLOSE
BTL_CAM_PRESET_14 BTL_CAM_ACTOR
BTL_CAM_PRESET_15 BTL_CAM_ACTOR_FAR
BTL_CAM_PRESET_16 BTL_CAM_ACTOR_GOAL_NEAR
BTL_CAM_PRESET_17 BTL_CAM_ACTOR_GOAL
BTL_CAM_PRESET_18 BTL_CAM_ACTOR_GOAL_FAR
BTL_CAM_PRESET_19 BTL_CAM_REPOSITION
BTL_CAM_PRESET_20 BTL_CAM_FOLLOW_ACTOR_Y
BTL_CAM_PRESET_21 BTL_CAM_FOLLOW_ACTOR_POS
BTL_CAM_PLAYER_ENTRY BTL_CAM_PLAYER_ENTRY
BTL_CAM_VICTORY BTL_CAM_VICTORY
BTL_CAM_PRESET_24 BTL_CAM_PLAYER_DIES
BTL_CAM_PRESET_25 BTL_CAM_PLAYER_FLEE
BTL_CAM_PLAYER_ATTACK_APPROACH BTL_CAM_PLAYER_ATTACK_APPROACH
BTL_CAM_PRESET_27 BTL_CAM_PLAYER_PRE_JUMP_FINISH
BTL_CAM_PRESET_28 BTL_CAM_PLAYER_PRE_ULTRA_JUMP_FINISH
BTL_CAM_PRESET_29 BTL_CAM_PLAYER_MISTAKE
BTL_CAM_PLAYER_HIT_SPIKE BTL_CAM_PLAYER_HIT_SPIKE
BTL_CAM_PLAYER_HIT_HAZARD BTL_CAM_PLAYER_HIT_HAZARD
BTL_CAM_PLAYER_CHARGE_UP BTL_CAM_PLAYER_CHARGE_UP
BTL_CAM_PLAYER_STATUS_AFFLICTED BTL_CAM_PLAYER_STATUS_AFFLICTED
BTL_CAM_PRESET_34 BTL_CAM_PLAYER_JUMP_MIDAIR
BTL_CAM_PRESET_35 BTL_CAM_PLAYER_JUMP_FINISH
BTL_CAM_PRESET_36 BTL_CAM_PLAYER_JUMP_FINISH_CLOSE
BTL_CAM_PRESET_37 BTL_CAM_PLAYER_SUPER_JUMP_MIDAIR
BTL_CAM_PRESET_38 BTL_CAM_PLAYER_ULTRA_JUMP_MIDAIR
BTL_CAM_PRESET_39 BTL_CAM_PLAYER_UNUSED_ULTRA_JUMP
BTL_CAM_PRESET_40 BTL_CAM_PLAYER_MULTIBOUNCE
BTL_CAM_PRESET_41 BTL_CAM_PRESET_UNUSED_29
BTL_CAM_PRESET_42 BTL_CAM_PRESET_UNUSED_2A
BTL_CAM_PLAYER_AIM_HAMMER BTL_CAM_PLAYER_AIM_HAMMER
BTL_CAM_PLAYER_HAMMER_STRIKE BTL_CAM_PLAYER_HAMMER_STRIKE
BTL_CAM_PRESET_45 BTL_CAM_PRESET_UNUSED_2D
BTL_CAM_PRESET_46 BTL_CAM_PLAYER_HAMMER_QUAKE
BTL_CAM_PARTNER_APPROACH BTL_CAM_PARTNER_APPROACH
BTL_CAM_PRESET_48 BTL_CAM_CLOSER_PARTNER_APPROACH
BTL_CAM_PRESET_49 BTL_CAM_PRESET_UNUSED_31
BTL_CAM_PRESET_50 BTL_CAM_GOOMBARIO_BONK_FOLLOWUP_1
BTL_CAM_PRESET_51 BTL_CAM_PARTNER_MISTAKE
BTL_CAM_PRESET_52 BTL_CAM_PARTNER_MIDAIR
BTL_CAM_PRESET_53 BTL_CAM_GOOMBARIO_BONK_FOLLOWUP_2
BTL_CAM_PARTNER_INJURED BTL_CAM_PARTNER_INJURED
BTL_CAM_PRESET_55 BTL_CAM_PARTNER_GOOMPA
BTL_CAM_PRESET_56 BTL_CAM_PRESET_UNUSED_38
BTL_CAM_PRESET_57 BTL_CAM_PRESET_UNUSED_39
BTL_CAM_PRESET_58 BTL_CAM_PRESET_UNUSED_3A
BTL_CAM_PRESET_59 BTL_CAM_PARTNER_CLOSE_UP
BTL_CAM_PRESET_60 BTL_CAM_PRESET_UNUSED_3C
BTL_CAM_PRESET_61 BTL_CAM_PARTNER_HIT_SPIKE
BTL_CAM_PRESET_62 BTL_CAM_PARTNER_HIT_HAZARD
BTL_CAM_ENEMY_APPROACH BTL_CAM_ENEMY_APPROACH
BTL_CAM_PRESET_64 BTL_CAM_PRESET_UNUSED_40
BTL_CAM_PRESET_65 BTL_CAM_SLOWER_DEFAULT
BTL_CAM_PRESET_66 BTL_CAM_ENEMY_DIVE
BTL_CAM_PRESET_67 BTL_CAM_PRESET_UNUSED_43
BTL_CAM_PRESET_68 BTL_CAM_PRESET_UNUSED_44
BTL_CAM_PRESET_69 BTL_CAM_PLAYER_WISH
BTL_CAM_PRESET_70 BTL_CAM_PRESET_UNUSED_46
BTL_CAM_PRESET_71 BTL_CAM_PRESET_UNUSED_47
BTL_CAM_PRESET_72 BTL_CAM_PRESET_UNUSED_48
BTL_CAM_PRESET_73 BTL_CAM_STAR_SPIRIT
