D_80249D70 CopyArrowAnimOffsets
filemenu_loadedFileIdx filemenu_CopyFromFileIdx
func_80263268 btl_check_can_change_partner
func_80263300 btl_init_menu_items
gSpriteShadingHeader ShadingOffsetsBuffer
gSpriteShadingData PackedShadingData
D_802835DC BonkAnimAccel
D_80283690 BonkAnimScale
func_802A1030 btl_main_menu_hide
func_802A1050 btl_main_menu_resume_choose
func_802A1078 btl_main_menu_restore_choose
func_802A1098 btl_main_menu_restore_submenu
func_802A2684 btl_submenu_moves_init
func_802A27D0 btl_submenu_moves_hide
func_802A27E4 btl_submenu_moves_destroy
func_802A2910 btl_submenu_moves_resume_choose
func_802A2AB8 btl_submenu_moves_restore_choose
func_802A2C58 btl_submenu_moves_restore_locked
func_802A45D8 btl_menu_strats_init
func_802A4718 btl_submenu_strats_hide
func_802A472C btl_submenu_strats_destroy
func_802A47E0 btl_submenu_strats_resume_choose
func_802A48FC btl_submenu_strats_restore_choose
func_802A4A10 btl_submenu_strats_restore_locked
btl_update_strats_menu btl_submenu_strats_update
can_switch_to_player btl_player_can_act
can_switch_to_partner btl_partner_can_act
D_802AB340 ErrorMessageHeight
D_802AB344 ErrorMessageAdjustY
battle_menu_JumpHudScripts BootsHudScripts
battle_menu_HammerHudScripts HammerHudScripts
battle_menu_ItemHudScripts ItemsHudScripts
battle_menu_StarPowerHudScripts StarPowersHudScripts
battle_menu_StarPowerMovesHudScripts StarPowerMovesHudScripts
battle_menu_PartnerHudScripts PartnerHudScripts
battle_menu_StrategiesHudScript StrategiesHudScripts
battle_menu_DoNothingHudScripts DoNothingHudScripts
battle_menu_FleeHudScripts FleeHudScripts
BattleMenu_LeftJustMessages LeftJustMenuMessages
BattleMenu_CenteredMessages CenteredBattleMessages
BattleMenu_PartnerThinkAnims PartnerThinkAnims
BattleMenu_PartnerIdleAnims PartnerIdleAnims
battle_menu_PartnerMoveHudScripts PartnerMoveHudScripts
battle_menu_PeachStarPowerHudScripts PeachStarPowerHudScripts
D_802AB728 PeachMenuMessages
battle_menu_TwinkStarPowerHudScripts TwinkStarPowerHudScripts
D_802AB734 TwinkMenuMessages
func_802B6550_E23C30 action_update_walk_set_peach_anim
func_802B6198_E24768 action_update_step_up_set_peach_anim
D_8029F244 NextEnemyWaitingOrdinal
BattleSubStateDelay BattleSubstateDelay
D_8029F254 BattleSkipActorTurn
D_8029F258 BattleStatusUpdateDelay
D_802ACCD0 BattlePopupMenu
D_802AD001 BattleMenu_ReelAppearTimer
D_802AD004 BattleMenu_WheelMoving
D_802AD006 BattleMenu_ReelAlpha
D_802AD00A BattleMenu_ReelHidePercent
D_802AD010 HID_OptionIcons
D_802AD028 HID_Spotlights
D_802AD040 HID_HighlightSpot
D_802AD044 HID_ProjectorReelA
D_802AD048 HID_ProjectorReelB
D_802AD04C HID_ProjectorBeam
D_802AD050 HID_SwapZ
D_802AD054 HID_SwapArrowLeft
D_802AD058 HID_SwapArrowRight
D_802AD05C HID_SwapBackground
BattleMenuDisableMsg BattleMenu_ErrorCode
D_802AD070 BattleMenu_WheelSpeed
BattleMenu_HudScripts WheelOptionHudScript
BattleMenu_TitleMessages WheelOptionName
BattleMenu_NumOptions WheelOptionCount
D_802AD0B0 BattleMenu_PrevSelected
battle_menu_submenuIDs WheelOptionSubmenu
BattleMenu_OptionEnabled WheelOptionEnabled
battle_menu_isMessageDisabled WheelOptionError
D_802AD100 BattleMenu_WheelBase
battle_menu_moveState MovesMenuState
battle_menu_moveCursorPos MovesCursorPos
D_802AD10A MovesPrevCursorPos
D_802AD10B MovesErrorTimer
battle_menu_moveScrollLine MovesVisibleStart
D_802AD10D MovesVisibleEnd
D_802AD10E MovesMenuLines
D_802AD10F MovesDescVisible
battle_menu_moveScrollOffset MovesScrollOffset
D_802AD112 MovesCursorOffset
BattleMenu_Moves_TextColor MovesTextColor
BattleMenu_Moves_TextAlpha MovesTextAlpha
BattleMenu_Moves_CursorID HID_MovesCursor
BattleMenu_Moves_UpArrowID HID_MovesArrowUp
BattleMenu_Moves_DownArrowID HID_MovesArrowDown
BattleMenu_Moves_OptionIDs MovesOptionHIDs
BattleMenu_Moves_TitleID HID_MovesTitle
BattleMenu_Moves_OptionCostUnitIDs MovesOptionCostHIDs
BattleMenu_Moves_PosX MovesMenuPosX
BattleMenu_Moves_PosY MovesMenuPosY
BattleMenu_Moves_OptionIndexMap MovesOptionIndexMap
D_802AD258 MovesErrorCode
battle_menu_moveOptionIconScripts MovesOptionHudScripts
battle_menu_moveOptionNames MovesOptionNames
battle_menu_moveOptionDisplayCosts MovesOptionDisplayCosts
battle_menu_moveOptionDisplayCostReductions MovesOptionDiscounts
battle_menu_moveOptionDisplayCostReductionColors MovesOptionDiscountColors
battle_menu_moveOptionBPCosts MovesOptionBPCosts
BattleMenu_UsingSpiritsSubmenu UsingSpiritsSubmenu
BattleMenu_Moves_OptionCount MovesOptionCount
D_802AD4A8 MovesPrevSelected
BattleMenu_Moves_OptionIndices MovesOptionIndices
BattleMenu_Moves_OptionEnabled MovesOptionEnabled
BattleMenu_Moves_OptionDescMessages MovesOptionDesc
BattleMenu_Moves_OptionSortPriority MovesOptionSortPriority
BattleMenu_Moves_OptionCantUseMessages MovesOptionError
battle_menu_moveOptionActive SelectedMovesIndex
BattleSubmenuStratsState StratsMenuState
StratsMenuPos StratsCursorPos
OldStratsMenuPos StratsPrevCursorPos
D_802AD608 StratsVisibleStart
D_802AD609 StratsVisibleEnd
D_802AD60B StratsDescVisible
D_802AD60C StratsScrollOffset
D_802AD60E StratsCursorOffset
D_802AD610 StratsErrorCode
D_802AD612 StratsErrorTimer
D_802AD614 StratsTextColor
D_802AD618 HID_StratsCursor
HID_GreenArrowUp HID_StratsArrowUp
HID_GreenArrowDown HID_StratsArrowDown
D_802AD624 StratsTextAlpha
D_802AD628 StratsOptionHIDs
D_802AD63C StratsMenuPosX
D_802AD63E StratsMenuPosY
D_802AD640 StratsOptionHudScripts
D_802AD658 StratsOptionNames
D_802AD66C StratsOptionCount
StratsMenuLastPos StratsPrevSelected
D_802AD678 StratsOptionMenuTypes
D_802AD690 StratsOptionEnabled
D_802AD6A8 StratsOptionError
D_802AD6C0 StratsOptionMessage
func_802CB710 SetCamLeadScale
mode_default_nop game_mode_nop
clear_game_modes clear_game_mode
game_mode_set_fpDrawAuxUI set_game_mode_render_frontUI
step_current_game_mode step_game_mode
state_render_backUI render_game_mode_backUI
state_render_frontUI render_game_mode_frontUI
