EVT_SAVE_FLAG(0) GF_Unused_EVT_00
EVT_SAVE_FLAG(1) GF_StartedChapter1
EVT_SAVE_FLAG(2) GF_StartedChapter2
EVT_SAVE_FLAG(3) GF_StartedChapter3
EVT_SAVE_FLAG(4) GF_StartedChapter4
EVT_SAVE_FLAG(5) GF_StartedChapter5
EVT_SAVE_FLAG(6) GF_StartedChapter6
EVT_SAVE_FLAG(7) GF_StartedChapter7
EVT_SAVE_FLAG(8) GF_StartedChapter8
EVT_SAVE_FLAG(9) GF_DemoSceneDone
EVT_SAVE_FLAG(10) GF_Unused_EVT_0A
EVT_SAVE_FLAG(11) GF_Unused_EVT_0B
EVT_SAVE_FLAG(12) GF_Unused_EVT_0C
EVT_SAVE_FLAG(13) GF_Unused_EVT_0D
EVT_SAVE_FLAG(14) GF_Unused_EVT_0E
EVT_SAVE_FLAG(15) GF_Unused_EVT_0F
EVT_SAVE_FLAG(16) GF_Unused_EVT_10
EVT_SAVE_FLAG(17) GF_Unused_EVT_11
EVT_SAVE_FLAG(18) GF_Unused_EVT_12
EVT_SAVE_FLAG(19) GF_Unused_EVT_13
EVT_SAVE_FLAG(20) GF_Unused_EVT_14
EVT_SAVE_FLAG(21) GF_Unused_EVT_15
EVT_SAVE_FLAG(22) GF_Unused_EVT_16
EVT_SAVE_FLAG(23) GF_Unused_EVT_17
EVT_SAVE_FLAG(24) GF_Unused_EVT_18
EVT_SAVE_FLAG(25) GF_Unused_EVT_19
EVT_SAVE_FLAG(26) GF_Unused_EVT_1A
EVT_SAVE_FLAG(27) GF_Unused_EVT_1B
EVT_SAVE_FLAG(28) GF_Unused_EVT_1C
EVT_SAVE_FLAG(29) GF_Unused_EVT_1D
EVT_SAVE_FLAG(30) GF_KMR04_Tree3_Dolly
EVT_SAVE_FLAG(31) GF_KMR02_KeptDolly
EVT_SAVE_FLAG(32) GF_KMR02_Met_Goompapa
EVT_SAVE_FLAG(33) GF_KMR02_Goompapa_SaidFarewell
EVT_SAVE_FLAG(34) GF_KMR02_Met_Goomama
EVT_SAVE_FLAG(35) GF_KMR02_Goomama_SaidFarewell
EVT_SAVE_FLAG(36) GF_KMR02_Met_Goombario
EVT_SAVE_FLAG(37) GF_KMR02_Goombario_SwapDialogue
EVT_SAVE_FLAG(38) GF_KMR02_Met_Gooma
EVT_SAVE_FLAG(39) GF_KMR02_Gooma_HealthAdvice
EVT_SAVE_FLAG(40) GF_KMR02_Met_Goompa
EVT_SAVE_FLAG(41) GF_KMR02_Goompa_SwapDialogue
EVT_SAVE_FLAG(42) GF_KMR02_ToadHouse_Intro
EVT_SAVE_FLAG(43) GF_KMR02_ReturnedWithGoompa
EVT_SAVE_FLAG(44) GF_Unused_KMR_0E
