ActorExists;0x8026DE5C
ActorSpeak;0x80252F30
AddActorDecoration;0x8026EE88
AddActorPos;0x8026B92C
AddActorVar;0x8026C0D4
AddBadge;0x802D6FF8
AddBattleCamOffsetZ;0x8024EA98
AddBattleCamZoom;0x8024ECAC
AddCoin;0x802D7278
AddGoalPos;0x8026A748
AddItem;0x802D6A98
AddKeyItem;0x802D68C8
AddPartDispOffset;0x8026BD88
AddPartMovementVar;0x8026C2E8
AddStarPieces;0x802D72F0
AddStarPoints;0x802D72B4
AddVectorPolar;0x802D4B14
AdjustCam;0x802CC660
AfflictActor;0x8027D67C
ApplyShrinkFromOwner;0x80254198
AssignAreaFlag;0x80111FF8
AssignBlockFlag;0x8011206C
AssignCrateFlag;0x80112170
AssignFlag;0x801120B8
AssignPanelFlag;0x80112114
AssignScript;0x80111FB0
AwaitPlayerApproach;0x802D48AC
AwaitPlayerLeave;0x802D4A5C
BattleCamTargetActor;0x8024EB24
BindHandleEvent;0x80278C20
BindIdle;0x80278A94
BindNextTurn;0x80278C94
BindNpcAI;0x80044A78
BindNpcAux;0x80044EB8
BindNpcDefeat;0x800451DC
BindNpcHit;0x80045140
BindNpcIdle;0x80044BAC
BindNpcInteract;0x800450A4
BindTakeTurn;0x80278930
BoostAttack;0x8026FCD4
BoostDefense;0x80270174
BringPartnerOut;0x802CF5B8
BtlBringPartnerOut;0x80280B6C
BtlPutPartnerAway;0x80280A34
CancelMessage;0x802D0C20
CancelMessageAndBlock;0x802D0C48
CancelablePlayerRunToGoal;0x80273EFC
ChangeModelAnimation;0x802CCF6C
CheckActionState;0x802831DC
CheckButtonDown;0x8026E108
CheckButtonHeld;0x8026E0D0
CheckButtonPress;0x8026E098
ChooseNextTarget;0x8026E414
ClampAngleFloat;0x802D5AB4
ClampAngleInt;0x802D5A58
ClearAmbientSounds;0x802D60E8
ClearDefeatedEnemies;0x80045640
ClearPartnerMoveHistory;0x802CF370
ClearStatusEffects;0x8027DDA0
CloneModel;0x802C8F28
CloseActionCommandInfo;0x80269410
CloseChoice;0x802D0BF8
CloseMessage;0x802D0A98
ContinueSpeech;0x802D02E8
CopyBuffs;0x80271160
CopyStatusEffects;0x8027DCBC
CountFortressKeys;0x802D6C4C
CountPlayerTargets;0x8026A14C
CreateNpc;0x802CDBA4
CreatePartShadow;0x8026F52C
CreatePushBlockGrid;0x802832E0
DeleteNpc;0x802CDC1C
DeletePartner;0x802807A8
DeleteTrigger;0x802C6824
DemoJoystickRadial;0x802D9B64
DemoJoystickXY;0x802D9C10
DemoPressButton;0x802D9AC0
DemoReleaseButton;0x802D9AF8
DemoSetButtons;0x802D9B34
DidActionSucceed;0x80276EB4
Disable8bitMario;0x802D2B88
DisablePartner;0x802D1F38
DisablePartnerAI;0x802CF4E8
DisablePartnerBlur;0x802456D8
DisablePlayerInput;0x802D0E28
DisablePlayerPhysics;0x802D0DE4
DisablePulseStone;0x802D2AA8
DispatchDamageEvent;0x8027D1BC
DispatchDamagePlayerEvent;0x8027491C
DispatchEvent;0x8027D264
DoAirLift;0x8029C37C
DoBasicAI;0x8004A47C
DoBlowAway;0x8029C4A8
DoBurnHit;0x8029A0D0
DoDeath;0x8029AEC0
DoDizzyAttack;0x8028907C
DoDizzyHit;0x802945FC
DoFreezeHit;0x8029466C
DoImmune;0x8029AC70
DoJumpBack;0x8029BD70
DoNormalHit;0x80299044
DoNpcDefeat;0x8004462C
DoParalyzeHit;0x80294618
DoPoisonHit;0x80294634
DoRecover;0x8029BFA0
DoReturnHome;0x8029BEB8
DoScareAway;0x8029B22C
DoShinkHit;0x802946B8
DoShockHit;0x8029A6FC
DoSleepHit;0x802945E0
DoSpinSmashHit;0x8029B998
DoStopHit;0x80294650
DropItemEntity;0x802D6DC0
DropItemEntityB;0x802D6EC0
DropStarPoints;0x8027C8A4
ElectrifyActor;0x8027095C
EnableActorBlur;0x8027D57C
EnableActorGlow;0x8027DBA4
EnableGroup;0x802C9B98
